name,start,median_deviation,many
"Cuckoo",0,0.920951650038377,9
"Cuckoo",1,0.235284430055363,9
"Cuckoo",2,0.374204551060243,9
"Cuckoo",3,0.613831028363269,9
"Cuckoo",4,0.454549115466563,9
"Cuckoo",5,0.417837099832508,9
"Cuckoo",6,0.570213433078824,9
"Cuckoo",8,0.842589700297606,9
"Cuckoo",9,0.940884004569664,9
"Cuckoo",11,0.589564606036257,9
"Cuckoo",12,0.862044674162015,9
"Cuckoo",14,1.00491960643149,9
"Cuckoo",15,0.191692651114368,9
"Cuckoo",17,0.737098278436226,9
"Cuckoo",19,1.09097457393966,9
"Cuckoo",21,1.12107241207506,9
"Cuckoo",23,0.625367790067936,9
"Cuckoo",25,0.33181994297466,9
"Cuckoo",28,0.420463898612674,9
"Cuckoo",30,0.358596915274041,9
"Cuckoo",33,0.890859778670836,9
"Cuckoo",35,0.609033837406721,9
"Cuckoo",38,0.562019715137992,9
"Cuckoo",41,0.17143026039664,9
"Cuckoo",44,0.311057299510783,9
"Cuckoo",47,0.253090052972322,9
"Cuckoo",51,0.683380270594953,9
"Cuckoo",54,0.864834018772501,9
"Cuckoo",58,0.626317079147271,9
"Cuckoo",62,0.338793854710305,9
"Cuckoo",66,0.341730130833806,9
"Cuckoo",70,0.066265823401582,9
"Cuckoo",75,0.744491930605154,9
"Cuckoo",80,0.517851744214402,9
"Cuckoo",85,0.655747288830855,9
"Cuckoo",90,0.412579791374753,9
"Cuckoo",95,0.619336522381682,9
"Cuckoo",101,0.415529946311198,9
"Cuckoo",107,0.432236068885813,9
"Cuckoo",114,0.374695015684911,9
"Cuckoo",120,0.625417509754,9
"Cuckoo",127,0.610978242977627,9
"Cuckoo",135,0.143936320253473,9
"Cuckoo",142,0.18516375419513,9
"Cuckoo",151,0.710676540924174,9
"Cuckoo",159,0.690582352429134,9
"Cuckoo",168,0.366325019710401,9
"Cuckoo",178,0.355485525974453,9
"Cuckoo",188,0.478675855705176,9
"Cuckoo",198,0.372139418004644,9
"Cuckoo",209,0.399934938813767,9
"Cuckoo",220,0.437048725673027,9
"Cuckoo",232,0.651743245700498,9
"Cuckoo",245,0.508330710613908,9
"Cuckoo",258,0.559835398822897,9
"Cuckoo",272,0.685460421572454,9
"Cuckoo",287,0.64487901384873,9
"Cuckoo",302,0.584651012699079,9
"Cuckoo",318,0.523703738715324,9
"Cuckoo",335,0.328304984009289,9
"Cuckoo",353,0.481050387670003,9
"Cuckoo",372,0.631388204649043,9
"Cuckoo",391,0.398062262946418,9
"Cuckoo",412,0.679480441474585,9
"Cuckoo",434,1.06840610678439,9
"Cuckoo",456,1.58455964741914,9
"Cuckoo",480,0.997462188467353,9
"Cuckoo",505,0.40552927125093,9
"Cuckoo",531,0.476405905217388,9
"Cuckoo",559,0.300753262759022,9
"Cuckoo",588,0.611255919820839,9
"Cuckoo",618,0.90239023811045,9
"Cuckoo",650,0.711581859212353,9
"Cuckoo",684,0.738127544097692,9
"Cuckoo",719,0.54887305850753,9
"Cuckoo",756,0.694061326546951,9
"Cuckoo",795,1.28717107608927,9
"Cuckoo",836,1.43324671178083,9
"Cuckoo",879,1.02306727149889,9
"Cuckoo",924,1.4070580411442,9
"Cuckoo",971,0.921108446668347,9
"Cuckoo",1020,1.21211074755462,9
"Cuckoo",1072,0.379419078626909,9
